,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
6751,Colombia,Wheat,2002,17353,3240.0,84023.26,27.77
6752,Colombia,Wheat,2002,17353,3240.0,84023.26,22.73
6769,Colombia,Wheat,2004,18879,3240.0,105514.19,27.3
6770,Colombia,Wheat,2004,18879,3240.0,105514.19,22.63
6787,Colombia,Wheat,2005,23371,3240.0,117881.45,27.56
6788,Colombia,Wheat,2005,23371,3240.0,117881.45,22.69
6805,Colombia,Wheat,2006,15490,3240.0,98328.63,27.51
6806,Colombia,Wheat,2006,15490,3240.0,98328.63,22.6
6823,Colombia,Wheat,2007,18709,3240.0,82439.06,27.45
6824,Colombia,Wheat,2007,18709,3240.0,82439.06,22.48
6841,Colombia,Wheat,2008,18151,3240.0,48538.97,27.16
6842,Colombia,Wheat,2008,18151,3240.0,48538.97,22.07
6859,Colombia,Wheat,2009,16946,3240.0,51435.13,27.68
6860,Colombia,Wheat,2009,16946,3240.0,51435.13,22.87
6877,Colombia,Wheat,2010,17697,3240.0,48618.46,27.54
6878,Colombia,Wheat,2010,17697,3240.0,48618.46,22.68
6895,Colombia,Wheat,2011,15964,3240.0,53797.0,27.18
6896,Colombia,Wheat,2011,15964,3240.0,53797.0,22.33
6913,Colombia,Wheat,2012,15196,3240.0,48727.73,27.56
6914,Colombia,Wheat,2012,15196,3240.0,48727.73,22.58
6931,Colombia,Wheat,2013,16938,3240.0,54563.38,27.6
6932,Colombia,Wheat,2013,16938,3240.0,54563.38,22.85
6939,Croatia,Wheat,1992,38967,1113.0,2304.0,10.78
6944,Croatia,Wheat,1993,41867,1113.0,2675.33,10.19
6949,Croatia,Wheat,1994,37823,1113.0,3046.67,11.33
6954,Croatia,Wheat,1995,38605,1113.0,3418.0,10.14
6959,Croatia,Wheat,1996,36905,1113.0,3148.0,9.24
6964,Croatia,Wheat,1997,40000,1113.0,3026.25,10.18
6969,Croatia,Wheat,1998,42214,1113.0,2904.5,10.42
6974,Croatia,Wheat,1999,32976,1113.0,2782.75,10.51
6979,Croatia,Wheat,2000,47455,1113.0,2661.0,11.45
6984,Croatia,Wheat,2001,44047,1113.0,2539.25,10.74
6989,Croatia,Wheat,2002,45919,1113.0,2417.5,11.18
6994,Croatia,Wheat,2004,49278,1113.0,2174.0,10.06
6999,Croatia,Wheat,2005,41144,1113.0,2053.0,9.62
7004,Croatia,Wheat,2006,45833,1113.0,2150.0,10.56
7009,Croatia,Wheat,2007,46408,1113.0,2015.0,11.31
7014,Croatia,Wheat,2008,54833,1113.0,2388.0,11.09
7019,Croatia,Wheat,2009,51896,1113.0,2070.0,11.06
7024,Croatia,Wheat,2010,40415,1113.0,1540.0,10.0
7029,Croatia,Wheat,2011,52237,1113.0,1638.74,11.02
7034,Croatia,Wheat,2012,53473,1113.0,1737.47,11.12
7039,Croatia,Wheat,2013,48846,1113.0,1836.21,11.58
7042,Denmark,Wheat,2010,66264,703.0,3894.0,7.54
7045,Denmark,Wheat,2011,64672,703.0,4249.48,9.31
7048,Denmark,Wheat,2012,73687,703.0,5716.0,8.7
7051,Denmark,Wheat,2013,72992,703.0,4118.0,8.81
7053,Denmark,Wheat,1990,74180,703.0,5650.0,9.83
7055,Denmark,Wheat,1991,70749,703.0,4628.0,8.62
7057,Denmark,Wheat,1992,61510,703.0,4566.0,9.47
7059,Denmark,Wheat,1993,69791,703.0,4103.0,8.16
7061,Denmark,Wheat,1994,64948,703.0,3922.0,9.15
7063,Denmark,Wheat,1995,75633,703.0,5043.0,8.75
7065,Denmark,Wheat,1996,69864,703.0,3672.0,7.31
7067,Denmark,Wheat,1997,72057,703.0,3679.0,8.91
7069,Denmark,Wheat,1998,72476,703.0,3623.0,8.65
7071,Denmark,Wheat,1999,70074,703.0,2867.0,9.37
7073,Denmark,Wheat,2000,74797,703.0,3174.0,9.67
7075,Denmark,Wheat,2001,73559,703.0,3311.0,8.78
7077,Denmark,Wheat,2002,70345,703.0,2868.0,9.54
7079,Denmark,Wheat,2004,71406,703.0,2899.0,9.0
7081,Denmark,Wheat,2005,72328,703.0,3246.0,9.11
7083,Denmark,Wheat,2006,69964,703.0,3212.0,9.74
7085,Denmark,Wheat,2007,65610,703.0,3336.0,9.87
7087,Denmark,Wheat,2008,78638,703.0,4145.0,9.82
7089,Denmark,Wheat,2009,80373,703.0,2836.0,9.22
7482,Ecuador,Wheat,1990,7967,2274.0,2537.0,21.82
7483,Ecuador,Wheat,1990,7967,2274.0,2537.0,17.6
7484,Ecuador,Wheat,1990,7967,2274.0,2537.0,22.12
7509,Ecuador,Wheat,1991,5696,2274.0,2377.0,21.91
7510,Ecuador,Wheat,1991,5696,2274.0,2377.0,17.59
7511,Ecuador,Wheat,1991,5696,2274.0,2377.0,22.18
7536,Ecuador,Wheat,1992,5911,2274.0,2012.0,21.94
7537,Ecuador,Wheat,1992,5911,2274.0,2012.0,17.67
7538,Ecuador,Wheat,1992,5911,2274.0,2012.0,22.19
7563,Ecuador,Wheat,1993,6711,2274.0,1844.0,21.86
7564,Ecuador,Wheat,1993,6711,2274.0,1844.0,17.42
7565,Ecuador,Wheat,1993,6711,2274.0,1844.0,22.15
7590,Ecuador,Wheat,1994,6162,2274.0,2670.0,21.46
7591,Ecuador,Wheat,1994,6162,2274.0,2670.0,17.4
7592,Ecuador,Wheat,1994,6162,2274.0,2670.0,21.8
7617,Ecuador,Wheat,1995,6951,2274.0,2658.0,21.96
7618,Ecuador,Wheat,1995,6951,2274.0,2658.0,17.7
7619,Ecuador,Wheat,1995,6951,2274.0,2658.0,22.19
7644,Ecuador,Wheat,1996,6176,2274.0,2407.0,21.34
7645,Ecuador,Wheat,1996,6176,2274.0,2407.0,17.23
7646,Ecuador,Wheat,1996,6176,2274.0,2407.0,21.69
7671,Ecuador,Wheat,1997,5976,2274.0,7612.0,22.88
7672,Ecuador,Wheat,1997,5976,2274.0,7612.0,17.82
7673,Ecuador,Wheat,1997,5976,2274.0,7612.0,23.0
7698,Ecuador,Wheat,1998,6484,2274.0,21500.0,22.59
7699,Ecuador,Wheat,1998,6484,2274.0,21500.0,18.12
7700,Ecuador,Wheat,1998,6484,2274.0,21500.0,22.72
7725,Ecuador,Wheat,1999,7001,2274.0,14216.0,21.21
7726,Ecuador,Wheat,1999,7001,2274.0,14216.0,17.02
7727,Ecuador,Wheat,1999,7001,2274.0,14216.0,21.43
7752,Ecuador,Wheat,2000,6208,2274.0,17948.0,21.34
7753,Ecuador,Wheat,2000,6208,2274.0,17948.0,17.06
7754,Ecuador,Wheat,2000,6208,2274.0,17948.0,21.46
7779,Ecuador,Wheat,2001,6100,2274.0,7344.0,21.51
7780,Ecuador,Wheat,2001,6100,2274.0,7344.0,17.39
7781,Ecuador,Wheat,2001,6100,2274.0,7344.0,21.88
7806,Ecuador,Wheat,2002,5696,2274.0,1302.49,22.23
7807,Ecuador,Wheat,2002,5696,2274.0,1302.49,17.78
7808,Ecuador,Wheat,2002,5696,2274.0,1302.49,22.47
7833,Ecuador,Wheat,2004,8053,2274.0,29799.84,22.04
7834,Ecuador,Wheat,2004,8053,2274.0,29799.84,17.73
7835,Ecuador,Wheat,2004,8053,2274.0,29799.84,22.33
7860,Ecuador,Wheat,2005,7220,2274.0,18391.23,21.82
7861,Ecuador,Wheat,2005,7220,2274.0,18391.23,17.67
7862,Ecuador,Wheat,2005,7220,2274.0,18391.23,22.21
7887,Ecuador,Wheat,2006,7774,2274.0,7953.42,22.09
7888,Ecuador,Wheat,2006,7774,2274.0,7953.42,17.6
7889,Ecuador,Wheat,2006,7774,2274.0,7953.42,22.31
7914,Ecuador,Wheat,2007,8186,2274.0,14156.16,21.68
7915,Ecuador,Wheat,2007,8186,2274.0,14156.16,17.44
7916,Ecuador,Wheat,2007,8186,2274.0,14156.16,21.99
7941,Ecuador,Wheat,2008,7466,2274.0,15396.14,21.72
7942,Ecuador,Wheat,2008,7466,2274.0,15396.14,17.16
7943,Ecuador,Wheat,2008,7466,2274.0,15396.14,21.89
7968,Ecuador,Wheat,2009,8617,2274.0,9666.87,22.01
7969,Ecuador,Wheat,2009,8617,2274.0,9666.87,17.76
7970,Ecuador,Wheat,2009,8617,2274.0,9666.87,22.42
7995,Ecuador,Wheat,2010,8912,2274.0,31637.12,21.98
7996,Ecuador,Wheat,2010,8912,2274.0,31637.12,17.79
7997,Ecuador,Wheat,2010,8912,2274.0,31637.12,22.3
8022,Ecuador,Wheat,2011,9249,2274.0,17529.44,21.78
8023,Ecuador,Wheat,2011,9249,2274.0,17529.44,17.42
8024,Ecuador,Wheat,2011,9249,2274.0,17529.44,22.11
8049,Ecuador,Wheat,2012,7995,2274.0,11469.74,21.86
8050,Ecuador,Wheat,2012,7995,2274.0,11469.74,17.46
8051,Ecuador,Wheat,2012,7995,2274.0,11469.74,22.16
8076,Ecuador,Wheat,2013,7064,2274.0,6471.77,21.69
8077,Ecuador,Wheat,2013,7064,2274.0,6471.77,17.28
8078,Ecuador,Wheat,2013,7064,2274.0,6471.77,21.94
8091,Egypt,Wheat,1990,51967,51.0,13214.0,20.73
8092,Egypt,Wheat,1990,51967,51.0,13214.0,21.6
8105,Egypt,Wheat,1991,48163,51.0,8255.0,20.64
8106,Egypt,Wheat,1991,48163,51.0,8255.0,21.65
8119,Egypt,Wheat,1992,52546,51.0,6156.0,20.09
8120,Egypt,Wheat,1992,52546,51.0,6156.0,21.11
8133,Egypt,Wheat,1993,52970,51.0,4175.0,20.74
8134,Egypt,Wheat,1993,52970,51.0,4175.0,21.79
8147,Egypt,Wheat,1994,50026,51.0,4283.0,21.1
8148,Egypt,Wheat,1994,50026,51.0,4283.0,22.02
8161,Egypt,Wheat,1995,54221,51.0,4391.0,20.62
8162,Egypt,Wheat,1995,54221,51.0,4391.0,21.56
8175,Egypt,Wheat,1996,56384,51.0,4499.0,20.85
8176,Egypt,Wheat,1996,56384,51.0,4499.0,21.88
8189,Egypt,Wheat,1997,55994,51.0,4607.0,20.52
8190,Egypt,Wheat,1997,55994,51.0,4607.0,21.45
8203,Egypt,Wheat,1998,59896,51.0,4715.0,21.29
8204,Egypt,Wheat,1998,59896,51.0,4715.0,22.36
8217,Egypt,Wheat,1999,63467,51.0,4823.0,21.46
8218,Egypt,Wheat,1999,63467,51.0,4823.0,22.28
8231,Egypt,Wheat,2000,63422,51.0,4931.0,20.74
8232,Egypt,Wheat,2000,63422,51.0,4931.0,21.49
8245,Egypt,Wheat,2001,63580,51.0,5039.0,21.45
8246,Egypt,Wheat,2001,63580,51.0,5039.0,22.33
8259,Egypt,Wheat,2002,64345,51.0,5147.0,21.46
8260,Egypt,Wheat,2002,64345,51.0,5147.0,22.41
8273,Egypt,Wheat,2004,65567,51.0,5363.0,21.06
8274,Egypt,Wheat,2004,65567,51.0,5363.0,22.08
8287,Egypt,Wheat,2005,64929,51.0,5471.0,21.08
8288,Egypt,Wheat,2005,64929,51.0,5471.0,22.01
8301,Egypt,Wheat,2006,64303,51.0,9781.0,21.15
8302,Egypt,Wheat,2006,64303,51.0,9781.0,22.05
8315,Egypt,Wheat,2007,64673,51.0,9105.0,21.51
8316,Egypt,Wheat,2007,64673,51.0,9105.0,22.36
8329,Egypt,Wheat,2008,65031,51.0,9527.0,21.74
8330,Egypt,Wheat,2008,65031,51.0,9527.0,22.64
8343,Egypt,Wheat,2009,63829,51.0,9013.0,21.67
8344,Egypt,Wheat,2009,63829,51.0,9013.0,22.63
8357,Egypt,Wheat,2010,55741,51.0,11590.0,22.46
8358,Egypt,Wheat,2010,55741,51.0,11590.0,23.72
8371,Egypt,Wheat,2011,65428,51.0,12945.0,21.18
8372,Egypt,Wheat,2011,65428,51.0,12945.0,21.99
8385,Egypt,Wheat,2012,65823,51.0,13991.0,21.55
8386,Egypt,Wheat,2012,65823,51.0,13991.0,22.48
8399,Egypt,Wheat,2013,66682,51.0,13653.0,21.44
8400,Egypt,Wheat,2013,66682,51.0,13653.0,22.91
8588,Eritrea,Wheat,1993,2038,383.0,4.44,24.09
8592,Eritrea,Wheat,1994,7449,383.0,4.44,24.13
8596,Eritrea,Wheat,1995,5124,383.0,4.44,24.37
8600,Eritrea,Wheat,1996,3665,383.0,4.44,24.36
8604,Eritrea,Wheat,1997,3434,383.0,30.92,24.32
8608,Eritrea,Wheat,1998,9552,383.0,19.61,24.78
8612,Eritrea,Wheat,1999,7700,383.0,22.28,24.68
8616,Eritrea,Wheat,2000,5943,383.0,24.96,24.76
8620,Eritrea,Wheat,2001,11658,383.0,27.63,24.61
8624,Eritrea,Wheat,2002,1706,383.0,27.63,24.86
8628,Eritrea,Wheat,2004,2980,383.0,27.63,24.79
8632,Eritrea,Wheat,2005,11565,383.0,27.63,24.85
8636,Eritrea,Wheat,2006,11604,383.0,27.63,24.7
8640,Eritrea,Wheat,2007,8395,383.0,27.63,24.7
8644,Eritrea,Wheat,2008,3307,383.0,27.63,24.79
8648,Eritrea,Wheat,2009,10706,383.0,27.63,25.3
8652,Eritrea,Wheat,2010,11786,383.0,27.63,25.22
8656,Eritrea,Wheat,2011,11154,383.0,27.63,24.78
8660,Eritrea,Wheat,2012,12692,383.0,27.63,25.16
8664,Eritrea,Wheat,2013,12000,383.0,27.63,25.87
8666,Estonia,Wheat,1992,20562,626.0,469.0,6.51
8668,Estonia,Wheat,1993,20994,626.0,170.0,5.26
8670,Estonia,Wheat,1994,16686,626.0,176.0,5.35
8672,Estonia,Wheat,1995,19974,626.0,154.0,6.23
8674,Estonia,Wheat,1996,22046,626.0,133.0,4.63
8676,Estonia,Wheat,1997,21850,626.0,200.0,5.95
8678,Estonia,Wheat,1998,17666,626.0,195.0,5.5
8680,Estonia,Wheat,1999,13377,626.0,187.0,6.55
8682,Estonia,Wheat,2000,21285,626.0,315.0,7.12
8684,Estonia,Wheat,2001,22302,626.0,329.0,6.08
8686,Estonia,Wheat,2002,23025,626.0,331.0,6.34
8688,Estonia,Wheat,2004,25083,626.0,351.0,6.03
8690,Estonia,Wheat,2005,30818,626.0,386.0,6.04
8692,Estonia,Wheat,2006,24173,626.0,452.0,6.7
8694,Estonia,Wheat,2007,34746,626.0,460.0,6.97
8696,Estonia,Wheat,2008,31831,626.0,551.0,7.39
8698,Estonia,Wheat,2009,30146,626.0,402.0,6.14
8700,Estonia,Wheat,2010,27440,626.0,514.0,5.06
8702,Estonia,Wheat,2011,28065,626.0,460.0,6.98
8704,Estonia,Wheat,2012,38994,626.0,553.0,5.57
8706,Estonia,Wheat,2013,32754,626.0,567.0,7.28
8708,Finland,Wheat,1990,34847,536.0,2001.0,6.07
8710,Finland,Wheat,1991,36391,536.0,1738.0,5.62
8712,Finland,Wheat,1992,24152,536.0,1372.0,5.8
8714,Finland,Wheat,1993,36212,536.0,1200.0,4.74
8716,Finland,Wheat,1994,37953,536.0,1247.0,4.66
8718,Finland,Wheat,1995,37686,536.0,1041.0,5.63
8720,Finland,Wheat,1996,40827,536.0,909.0,4.2
8722,Finland,Wheat,1997,37188,536.0,999.0,5.36
8724,Finland,Wheat,1998,28929,536.0,1164.0,4.71
8726,Finland,Wheat,1999,21589,536.0,1139.0,5.7
8728,Finland,Wheat,2000,36007,536.0,1147.48,6.57
8730,Finland,Wheat,2001,33811,536.0,1423.27,5.35
8732,Finland,Wheat,2002,32585,536.0,1620.36,5.54
8734,Finland,Wheat,2004,34738,536.0,1489.12,5.4
8736,Finland,Wheat,2005,37304,536.0,1431.04,5.8
8738,Finland,Wheat,2006,35575,536.0,1645.3,5.91
8740,Finland,Wheat,2007,39329,536.0,1479.45,6.23
8742,Finland,Wheat,2008,36408,536.0,1621.86,6.77
8744,Finland,Wheat,2009,41027,536.0,1693.8,5.49
8746,Finland,Wheat,2010,34299,536.0,1746.71,4.36
8748,Finland,Wheat,2011,38469,536.0,1707.54,6.38
8750,Finland,Wheat,2012,39028,536.0,1545.25,5.12
8752,Finland,Wheat,2013,38215,536.0,1475.39,6.17
8758,France,Wheat,1990,64787,867.0,97701.0,11.96
8764,France,Wheat,1991,66764,867.0,103434.0,10.6
8770,France,Wheat,1992,63992,867.0,85249.0,11.15
8776,France,Wheat,1993,64739,867.0,91953.0,10.7
8782,France,Wheat,1994,66685,867.0,89515.0,11.96
8788,France,Wheat,1995,65079,867.0,84011.0,11.69
8794,France,Wheat,1996,71361,867.0,97890.0,10.14
8800,France,Wheat,1997,66288,867.0,109792.0,11.59
8806,France,Wheat,1998,76063,867.0,107753.0,11.25
8812,France,Wheat,1999,72395,867.0,114695.0,11.83
8818,France,Wheat,2000,71175,867.0,97878.0,11.74
8824,France,Wheat,2001,66169,867.0,99694.0,11.37
8830,France,Wheat,2002,74455,867.0,82448.0,11.87
8836,France,Wheat,2004,75788,867.0,76099.0,11.34
8842,France,Wheat,2005,69887,867.0,78265.0,11.55
8848,France,Wheat,2006,67414,867.0,71612.0,11.79
8854,France,Wheat,2007,62542,867.0,77255.0,11.75
8860,France,Wheat,2008,71018,867.0,78577.0,11.28
8866,France,Wheat,2009,74478,867.0,63676.0,11.46
8872,France,Wheat,2010,70405,867.0,61903.0,10.41
8878,France,Wheat,2011,66563,867.0,61039.0,12.33
8884,France,Wheat,2012,71512,867.0,63547.59,11.22
8890,France,Wheat,2013,72656,867.0,66497.29,11.01
8900,Germany,Wheat,1990,62734,700.0,31289.0,10.71
8901,Germany,Wheat,1990,62734,700.0,31289.0,10.08
8902,Germany,Wheat,1990,62734,700.0,31289.0,5.92
8912,Germany,Wheat,1991,67712,700.0,32006.0,9.36
8913,Germany,Wheat,1991,67712,700.0,32006.0,8.79
8914,Germany,Wheat,1991,67712,700.0,32006.0,4.93
8924,Germany,Wheat,1992,59811,700.0,29542.0,10.38
8925,Germany,Wheat,1992,59811,700.0,29542.0,9.84
8926,Germany,Wheat,1992,59811,700.0,29542.0,5.91
8936,Germany,Wheat,1993,65841,700.0,25170.0,9.34
8937,Germany,Wheat,1993,65841,700.0,25170.0,8.57
8938,Germany,Wheat,1993,65841,700.0,25170.0,5.33
8948,Germany,Wheat,1994,67684,700.0,26330.0,10.43
8949,Germany,Wheat,1994,67684,700.0,26330.0,9.73
8950,Germany,Wheat,1994,67684,700.0,26330.0,6.64
8960,Germany,Wheat,1995,68882,700.0,30090.0,9.75
8961,Germany,Wheat,1995,68882,700.0,30090.0,9.16
8962,Germany,Wheat,1995,68882,700.0,30090.0,5.33
8972,Germany,Wheat,1996,72932,700.0,31683.0,7.88
8973,Germany,Wheat,1996,72932,700.0,31683.0,7.42
8974,Germany,Wheat,1996,72932,700.0,31683.0,4.49
8984,Germany,Wheat,1997,72902,700.0,30414.0,9.73
8985,Germany,Wheat,1997,72902,700.0,30414.0,9.27
8986,Germany,Wheat,1997,72902,700.0,30414.0,5.79
8996,Germany,Wheat,1998,72035,700.0,33377.0,10.05
8997,Germany,Wheat,1998,72035,700.0,33377.0,9.31
8998,Germany,Wheat,1998,72035,700.0,33377.0,5.66
9008,Germany,Wheat,1999,75411,700.0,30019.0,10.58
9009,Germany,Wheat,1999,75411,700.0,30019.0,10.02
9010,Germany,Wheat,1999,75411,700.0,30019.0,5.55
9020,Germany,Wheat,2000,72826,700.0,35273.17,10.96
9021,Germany,Wheat,2000,72826,700.0,35273.17,10.12
9022,Germany,Wheat,2000,72826,700.0,35273.17,6.33
9032,Germany,Wheat,2001,78827,700.0,33423.49,9.69
9033,Germany,Wheat,2001,78827,700.0,33423.49,9.19
9034,Germany,Wheat,2001,78827,700.0,33423.49,5.59
9044,Germany,Wheat,2002,69056,700.0,34431.72,10.26
9045,Germany,Wheat,2002,69056,700.0,34431.72,9.86
9046,Germany,Wheat,2002,69056,700.0,34431.72,6.26
9053,Germany,Wheat,2004,81716,700.0,34930.37,9.82
9054,Germany,Wheat,2004,81716,700.0,34930.37,9.48
9055,Germany,Wheat,2004,81716,700.0,34930.37,5.43
9062,Germany,Wheat,2005,74651,700.0,36386.27,9.92
9063,Germany,Wheat,2005,74651,700.0,36386.27,9.58
9064,Germany,Wheat,2005,74651,700.0,36386.27,5.01
9074,Germany,Wheat,2006,72007,700.0,38540.15,10.55
9075,Germany,Wheat,2006,72007,700.0,38540.15,10.15
9076,Germany,Wheat,2006,72007,700.0,38540.15,5.94
9086,Germany,Wheat,2007,69611,700.0,40740.64,10.88
9087,Germany,Wheat,2007,69611,700.0,40740.64,10.37
9088,Germany,Wheat,2007,69611,700.0,40740.64,6.28
9098,Germany,Wheat,2008,80873,700.0,43413.01,10.66
9099,Germany,Wheat,2008,80873,700.0,43413.01,10.04
9100,Germany,Wheat,2008,80873,700.0,43413.01,5.94
9110,Germany,Wheat,2009,78091,700.0,39289.43,10.06
9111,Germany,Wheat,2009,78091,700.0,39289.43,9.61
9112,Germany,Wheat,2009,78091,700.0,39289.43,5.89
9122,Germany,Wheat,2010,72120,700.0,40832.42,8.61
9123,Germany,Wheat,2010,72120,700.0,40832.42,7.97
9124,Germany,Wheat,2010,72120,700.0,40832.42,4.85
9134,Germany,Wheat,2011,70139,700.0,43754.35,10.56
9135,Germany,Wheat,2011,70139,700.0,43754.35,9.73
9136,Germany,Wheat,2011,70139,700.0,43754.35,6.56
9146,Germany,Wheat,2012,73312,700.0,45522.5,9.96
9147,Germany,Wheat,2012,73312,700.0,45522.5,9.2
9148,Germany,Wheat,2012,73312,700.0,45522.5,5.88
9158,Germany,Wheat,2013,79979,700.0,43756.1,10.12
9159,Germany,Wheat,2013,79979,700.0,43756.1,9.17
9160,Germany,Wheat,2013,79979,700.0,43756.1,6.0
9322,Greece,Wheat,1990,19332,652.0,7420.0,18.05
9329,Greece,Wheat,1991,31183,652.0,7420.0,17.07
9336,Greece,Wheat,1992,24315,652.0,7869.0,17.13
9343,Greece,Wheat,1993,22952,652.0,8826.0,17.53
9350,Greece,Wheat,1994,27510,652.0,6341.0,18.47
9357,Greece,Wheat,1995,26341,652.0,6663.0,17.82
9364,Greece,Wheat,1996,24149,652.0,7296.0,17.46
9371,Greece,Wheat,1997,24172,652.0,9223.0,17.35
9378,Greece,Wheat,1998,24379,652.0,10702.0,18.15
9385,Greece,Wheat,1999,23910,652.0,9635.0,18.82
9392,Greece,Wheat,2000,26666,652.0,10627.0,18.2
9399,Greece,Wheat,2001,25096,652.0,10725.0,18.67
9406,Greece,Wheat,2002,23432,652.0,11852.0,18.33
9413,Greece,Wheat,2004,24757,652.0,11594.0,18.07
9420,Greece,Wheat,2005,24058,652.0,12083.0,17.91
9427,Greece,Wheat,2006,22859,652.0,7505.3,17.78
9434,Greece,Wheat,2007,22353,652.0,7345.7,18.67
9441,Greece,Wheat,2008,27769,652.0,5130.8,18.61
9448,Greece,Wheat,2009,27436,652.0,3404.4,18.52
9455,Greece,Wheat,2010,26044,652.0,5607.7,19.3
9462,Greece,Wheat,2011,27004,652.0,8189.8,17.67
9469,Greece,Wheat,2012,26650,652.0,8002.2,18.82
9476,Greece,Wheat,2013,27777,652.0,8081.72,19.36
9484,Guatemala,Wheat,1990,19983,1996.0,12004.33,19.64
9492,Guatemala,Wheat,1991,20124,1996.0,12004.33,19.91
9500,Guatemala,Wheat,1992,20000,1996.0,12004.33,19.89
9509,Guatemala,Wheat,1993,19924,1996.0,12004.33,19.85
9518,Guatemala,Wheat,1994,21025,1996.0,12004.33,20.08
9527,Guatemala,Wheat,1995,20987,1996.0,12004.33,19.98
9536,Guatemala,Wheat,1996,21020,1996.0,12004.33,19.48
9545,Guatemala,Wheat,1997,20408,1996.0,11419.53,20.16
9554,Guatemala,Wheat,1998,19721,1996.0,10834.74,20.36
9563,Guatemala,Wheat,1999,19633,1996.0,10249.94,19.44
9572,Guatemala,Wheat,2000,20934,1996.0,9665.14,19.47
9581,Guatemala,Wheat,2001,29638,1996.0,10023.42,19.62
9590,Guatemala,Wheat,2002,19146,1996.0,10381.71,19.93
9599,Guatemala,Wheat,2004,20184,1996.0,11959.92,19.85
9608,Guatemala,Wheat,2005,21288,1996.0,13506.02,19.99
9617,Guatemala,Wheat,2006,22712,1996.0,15951.27,19.88
9626,Guatemala,Wheat,2007,22229,1996.0,22883.17,19.9
9635,Guatemala,Wheat,2008,24013,1996.0,18091.67,19.51
9644,Guatemala,Wheat,2009,22131,1996.0,13276.7,19.99
9653,Guatemala,Wheat,2010,20574,1996.0,14898.25,19.85
9662,Guatemala,Wheat,2011,20509,1996.0,16540.71,19.85
9671,Guatemala,Wheat,2012,21677,1996.0,19726.3,19.88
9680,Guatemala,Wheat,2013,20240,1996.0,20489.4,20.37
10167,Honduras,Wheat,1990,5769,1976.0,9880.07,24.53
10175,Honduras,Wheat,1991,5797,1976.0,6289.7,24.61
10183,Honduras,Wheat,1992,5926,1976.0,9904.59,24.77
10192,Honduras,Wheat,1993,5808,1976.0,6768.0,24.58
10201,Honduras,Wheat,1994,6071,1976.0,3160.91,24.87
10210,Honduras,Wheat,1995,5940,1976.0,7800.0,24.95
10219,Honduras,Wheat,1996,5999,1976.0,6464.0,24.39
10228,Honduras,Wheat,1997,6667,1976.0,6980.0,25.03
10237,Honduras,Wheat,1998,5000,1976.0,3495.0,25.37
10246,Honduras,Wheat,1999,4750,1976.0,2387.0,24.41
10255,Honduras,Wheat,2000,5258,1976.0,4376.0,24.43
10264,Honduras,Wheat,2001,5305,1976.0,1141.0,24.4
10273,Honduras,Wheat,2002,5309,1976.0,1772.3,24.61
10282,Honduras,Wheat,2004,5287,1976.0,3034.91,24.68
10291,Honduras,Wheat,2005,5327,1976.0,3666.21,24.77
10300,Honduras,Wheat,2006,5367,1976.0,4297.51,24.88
10309,Honduras,Wheat,2007,5409,1976.0,5283.93,24.55
10318,Honduras,Wheat,2008,5452,1976.0,5130.42,24.25
10327,Honduras,Wheat,2009,5750,1976.0,4344.36,24.77
10336,Honduras,Wheat,2010,5524,1976.0,5736.63,24.49
10345,Honduras,Wheat,2011,5445,1976.0,6324.41,24.63
10354,Honduras,Wheat,2012,5517,1976.0,7194.91,24.47
10363,Honduras,Wheat,2013,5528,1976.0,7194.91,24.86
10369,Hungary,Wheat,1990,50771,589.0,12756.0,10.96
10375,Hungary,Wheat,1991,51900,589.0,8069.0,9.66
10381,Hungary,Wheat,1992,40700,589.0,5777.0,11.01
10387,Hungary,Wheat,1993,30649,589.0,10197.0,10.22
10393,Hungary,Wheat,1994,46033,589.0,9574.0,11.58
10399,Hungary,Wheat,1995,41644,589.0,7715.0,10.34
10405,Hungary,Wheat,1996,32780,589.0,6946.0,9.44
10411,Hungary,Wheat,1997,42153,589.0,4445.0,9.89
10417,Hungary,Wheat,1998,41390,589.0,5280.0,10.35
10423,Hungary,Wheat,1999,35948,589.0,4598.0,10.64
10429,Hungary,Wheat,2000,36044,589.0,4151.0,11.69
10435,Hungary,Wheat,2001,43105,589.0,5458.0,10.47
10441,Hungary,Wheat,2002,35212,589.0,8231.5,11.43
10447,Hungary,Wheat,2004,51174,589.0,9940.5,10.37
10453,Hungary,Wheat,2005,45000,589.0,9676.0,10.05
10459,Hungary,Wheat,2006,40719,589.0,11523.0,10.67
10465,Hungary,Wheat,2007,35875,589.0,11178.0,11.82
10471,Hungary,Wheat,2008,50024,589.0,12084.0,11.55
10477,Hungary,Wheat,2009,38546,589.0,11144.0,11.48
10483,Hungary,Wheat,2010,37038,589.0,10299.5,10.35
10489,Hungary,Wheat,2011,41994,589.0,8473.26,10.92
10495,Hungary,Wheat,2012,37485,589.0,8141.17,11.31
10501,Hungary,Wheat,2013,46386,589.0,7744.5,12.44
10656,India,Wheat,1990,21211,1083.0,75000.0,25.58
10657,India,Wheat,1990,21211,1083.0,75000.0,26.88
10658,India,Wheat,1990,21211,1083.0,75000.0,25.79
10659,India,Wheat,1990,21211,1083.0,75000.0,24.1
10660,India,Wheat,1990,21211,1083.0,75000.0,25.25
